AP1B1	12.138	11.824	11.805	11.116	12.105	11.402	12.307	12.353	12.538	11.747	11.952	11.223	11.885	12.161	12.331	11.785	11.416	12.797	12.014	12.113	11.835	11.546	10.984	11.571	12.278	12.768	12.386	12.045	11.893	11.532	11.458	11.333	11.120	12.434	11.956	11.576	12.034	10.916	12.473	11.131	11.072	12.011	11.223	11.467	12.136	11.511	11.899	10.556	12.104	11.184	12.929	11.591	12.470	11.213	11.983	11.339	11.122	10.339	11.319	11.257	11.920	11.864	11.327	11.509	11.652	12.323	10.921	11.902	11.716	10.870	11.691	11.582	11.716	11.946	11.764	12.183	10.837	11.956	10.360	11.699	11.029	11.419	10.283	11.382	10.905	12.254	12.058	12.587	11.832	12.039	11.797	11.443	11.420	11.792	12.308	11.694	10.876	12.130	11.279	12.256	11.438	12.439	11.411	11.648	11.434	10.889	11.609	11.789	10.634	12.011	11.977	11.747	10.785	11.852	11.275	11.304	12.278	12.287	11.292	11.531	12.567	11.776	11.712	11.325	11.295	11.397	11.790	12.312	11.735	11.740	11.548	11.646	12.159	11.877	11.414	12.643	12.147	11.229	12.193	12.089	11.589	11.845	11.847	11.852	12.278	11.618	11.248	11.262	11.964	11.853	11.499	11.621	11.521	11.972	12.016	11.981	13.329	12.312	12.971	11.860	11.563	11.227	10.599	10.256	12.163	11.974	11.737
AR	6.857	4.442	2.789	6.638	4.700	7.055	6.898	5.310	4.933	2.984	4.358	6.770	6.219	8.070	6.217	5.421	5.511	6.267	6.912	4.944	5.144	5.659	3.245	5.106	5.861	4.270	5.677	6.736	4.312	4.437	4.464	3.537	5.112	3.490	1.064	5.508	6.090	9.076	6.490	5.728	6.391	6.214	5.993	7.127	7.144	7.433	7.214	3.509	7.478	5.847	5.354	2.486	5.637	6.132	7.049	6.008	5.012	5.864	6.744	5.604	7.991	6.167	7.842	4.168	6.926	6.218	4.830	3.478	4.912	3.792	6.862	4.201	6.647	4.512	3.955	7.352	7.038	5.386	0	6.831	2	6.590	3.963	7.093	1.635	7.527	5.321	6.877	5.295	7.249	6.111	6.757	3.602	4.281	6.686	5.916	7.170	5.527	5.722	6.233	5.762	0.708	4.467	5.552	7.233	2.358	4.414	7.302	5.242	5.752	5.612	6.506	5.481	2.924	5.272	3.792	6.234	4.955	5.925	7.425	5.516	6.965	4.876	6.993	6.348	7.325	5.291	7.081	5.845	2.896	7.416	6.822	4.508	4.720	6.605	7.325	6.312	6.711	7.262	5.999	6.673	4.394	4.596	5.764	5.981	5.804	6.438	7.484	5.859	3.002	6.190	6.862	4.774	3.645	8.234	5.971	6.788	5.669	6.376	4.298	4.361	3.325	6.184	5.703	5.930	4.618	4.818
ATP5J	10.135	11.555	11.527	10.627	11.437	10.089	10.148	11.573	11.347	11.721	11.716	11.260	10.321	10.072	11.187	10.562	12.326	11.397	10.265	10.519	10.725	10.563	12.484	11.821	11.034	10.618	10.426	11.066	10.920	10.959	11.155	11.532	10.175	11.485	11.226	10.664	10.945	10.400	10.419	11.056	10.661	10.831	10.486	10.704	10.385	11.075	10.745	10.598	10.700	10.677	11.058	11.732	11.445	11.149	10.520	11.090	11.407	10.108	10.716	10.656	10.223	10.921	11.005	11.475	10.389	10.436	11.369	11.166	10.944	11.779	10.242	11.783	10.877	10.901	10.951	10.342	10.998	11.647	11.271	10.973	11.433	10.945	12.730	11.506	10.693	10.645	11.073	10.707	10.150	11.730	10.293	10.650	10.705	11.075	10.525	11.208	10.425	10.947	10.591	11.158	10.778	10.731	11.109	10.542	10.560	12.561	11.301	10.408	11.098	10.509	10.834	10.351	10.870	11.811	12.674	11.047	10.668	10.238	11.299	10.858	10.538	10.452	10.910	10.952	11.067	10.450	11.899	10.611	11.317	10.856	11.787	10.226	11.225	11.193	10.541	10.432	10.877	11.069	10.343	11.158	11.686	11.098	11.198	10.760	10.697	10.890	10.087	10.924	10.737	11.091	10.829	10.472	10.613	10.876	10.060	9.626	10.107	10.679	10.004	11.029	10.299	12.473	10.723	12.134	10.509	10.871	11.132
BMP4	6.126	6.919	6.099	7.381	5.565	5.732	7.851	6.470	6.073	6.117	6.114	6.115	6.403	6.327	7.162	6.870	7.200	6.321	5.942	5.811	4.241	4.418	4.893	7.782	6.426	6.579	6.134	7.342	6.956	6.292	6.377	5.995	6.219	5.013	5.738	4.725	5.540	8.766	4.741	6.327	4.493	4.333	6.201	5.028	3.907	6.376	8.309	9.410	8.170	6.718	6.516	5.453	6.458	6.389	4.570	6.338	6.556	5.488	5.559	6.707	5.499	5.160	6.298	6.336	6.972	6.328	5.703	6.274	5.535	5.419	4.553	4.250	5.350	6.406	4.145	5.886	7.227	7.235	10	6.963	7.408	7.290	5.722	5.769	4.826	7.041	7.184	5.998	5.817	6.082	5.410	6.929	4.515	7.006	7.112	4.422	6.408	6.856	7.359	6.224	6.905	6.486	5.484	4.300	6.518	5.344	7.599	6.432	5.340	5.226	5.859	6.195	5.003	5.403	4.685	7.215	6.995	6.384	3.650	4.731	5.378	4.174	4.123	7.116	5.759	5.376	6.901	8.256	7.716	8.622	5.649	6.079	6.015	6.501	7.094	4.574	5.617	6.252	6.100	6.500	5.052	6.717	5.621	6.679	4.986	8.053	5.275	4.203	5.085	5.582	5.061	4.870	2.579	5.104	5.579	4.983	6.475	7.277	6.014	6.585	5.289	6.361	5.230	5.761	6.042	6.489	5.534
BRCA1	8.018	6.932	8.510	8.753	7.173	8.581	9.549	8.530	6.112	8.072	7.638	9.196	8.461	8.267	9.064	8.570	7.410	6.989	7.351	8.155	7.612	8.731	8.033	7.673	8.373	7.772	9.083	8.908	8.110	8.390	7.889	8.089	8.438	7.789	7.887	8.829	6.671	9.299	8.814	8.451	9.334	8.520	8.210	7.874	8.890	8.282	9.703	8.721	7.904	8.858	7.654	7.382	7.623	8.617	8.171	8.739	8.031	8.117	8.322	9.022	9.222	10.330	8.574	8.649	8.387	8.730	9.162	7.702	8.540	7.722	9.034	7.374	7.828	7.341	8.736	7.278	8.073	8.525	8.250	9.167	7.792	8.616	8.119	9.839	8.481	8.551	7.458	9.143	9.633	9.100	8.483	8.274	8.743	8.908	8.687	8.129	9.955	7.473	9.315	8.484	8.969	8.282	9.043	7.938	8.693	7.768	9.299	8.327	9.230	8.209	8.221	7.934	8.779	7.928	7.305	8.382	8.065	8.639	8.479	8.632	7.944	8.705	8.621	8.807	8.574	9.227	7.819	8.958	7.848	8.398	8.615	9.044	7.096	7.695	8.331	9.372	8.110	9.262	7.953	7.435	8.230	7.478	8.108	8.732	7.228	9.109	9.018	9.922	8.524	8.226	8.774	8.820	8.424	7.756	8.124	9.073	7.720	7.748	8.472	7.894	9.038	8.396	9.707	7.508	8.530	8.163	8.681
CDKN1B	10.841	9.029	11.573	11.411	10.847	10.437	10.684	9.577	10.816	10.908	10.275	11.135	10.365	10.665	10.722	11.250	11.230	10.898	11.120	9.990	10.369	10.715	10.912	11.203	9.395	10.461	9.802	11.062	10.729	11.263	11.177	11.246	11.122	11.091	10.207	10.777	10.861	11.329	10.787	11.324	11.406	11.023	10.210	10.512	10.675	10.636	11.522	9.935	10.746	11.316	10.539	11.146	10.033	10.799	10.407	10.368	11.151	10.597	11.004	11.689	10.587	10.847	10.148	11.678	11.152	10.524	11.213	11.864	11.532	11.797	11.277	10.919	10.945	9.761	10.379	10.706	11.416	11.325	8.898	11.214	11.440	10.852	11.573	11.472	10.519	10.898	10.884	10.609	11.334	11.105	11.107	10.860	10.887	10.571	10.810	10.301	10.955	11.147	10.818	11.455	10.636	10.454	10.175	10.608	10.787	11	10.845	10.871	10.309	10.035	11.140	11.338	10.925	10.337	11.024	10.931	10.554	10.236	11.033	10.558	9.996	10.053	10.034	10.945	10.549	10.683	11.222	10.842	10.775	9.600	11.085	11.104	10.827	11.020	10.859	10.979	10.865	11.086	10.525	10.547	11.768	11.059	10.752	11.446	10.639	11.985	11.220	11.009	10.627	10.249	11.323	10.562	10.952	10.937	10.793	10.405	10.709	9.869	10.310	10.702	10.820	11.095	12.349	11.554	11.424	9.712	9.908
CEBPB	9.008	12.238	9.802	9.618	10.843	8.744	8.415	10.588	10.071	9.617	10.163	9.648	8.599	8.955	10.654	8.800	8.789	10.096	9.901	10.759	9.862	8.386	8.889	9.149	10.068	10.973	9.791	9.451	8.983	9.010	9.105	10.325	9.302	10.125	10.225	10.162	9.971	7.597	9.043	8.272	8.940	9.276	10.218	8.119	8.834	8.346	8.953	7.744	9.260	9.395	11.505	8.618	10.661	8.614	9.833	8.645	7.674	7.299	9.616	8.569	9.129	9.345	8.562	9.035	8.651	10.422	8.520	9.114	8.456	10.341	9.711	9.544	10.189	9.677	9.991	11.278	7.675	10.446	8.538	9.186	10.399	7.464	8.897	10.067	9.145	8.914	9.992	9.585	8.434	9.484	9.153	9.272	8.225	10.016	9.666	10.082	7.562	8.476	9.930	8.707	9.136	9.751	9.422	9.368	9.887	10.036	10.721	9.021	6.587	8.504	9.404	8.616	8.386	10.964	9.326	8.978	8.886	9.674	9.199	9.438	10.485	8.311	8.735	8.789	8.824	8.588	10.134	9.164	9.371	10.414	8.278	8.206	9.551	9.756	10.575	9.440	9.439	9.419	10.066	9.743	9.461	9.445	10.083	10.014	9.709	7.957	9.115	8.264	9.125	9.879	9.201	8.964	9.790	8.803	9.571	9.759	11.181	12.074	9.466	10.110	6.952	9.787	8.379	9.365	9.340	11.619	9.943
COL18A1	11.476	12.693	11.668	9.984	10.018	11.164	10.059	13.054	10.357	10.434	10.948	9.874	10.386	11	11.205	11.096	9.041	10.812	10.821	12.363	10.245	10.426	8.592	10.128	12.215	11.831	11.233	10.416	12.123	10.749	10.905	11.434	10.623	9.341	12.236	10.751	10.876	9.603	9.992	11.011	10.797	10.101	12.595	11.052	11.073	10.919	10.519	12.460	11.301	11.036	11.437	10.817	11.686	11.258	10.884	10.650	10.700	8.743	10.438	11.018	11.611	7.766	11.079	11.187	10.731	12.106	11.178	10.489	10.732	9.726	9.899	10.069	11.189	12.647	10.219	11.642	9.753	10.501	13.191	10.791	8.813	10.792	8.772	9.812	11.403	10.439	10.458	11.499	11.163	10.885	11.448	10.664	10.365	10.303	10.355	10.655	8.625	9.711	11.524	10.985	10.619	12.690	10.268	10.843	12.173	9.670	11.437	10.689	11.132	11.080	10.612	10.589	11.069	11.790	8.996	12.419	9.730	12.519	10.674	11.033	11.397	11.112	10.931	10.141	11.141	11.348	10.779	11.991	12	14.544	8.026	10.399	11.465	11.925	11.730	11.151	10.420	10.951	12.395	12.175	10.267	11.539	11.413	12.576	13.097	10.981	10.600	9.167	12.210	11.972	10.378	10.980	10.749	11.333	11.436	11.718	12.050	12.806	11.654	11.604	10.041	9.203	8.333	9.448	11.670	12.215	13.328
CREBBP	10.912	10.143	10.910	10.951	9.241	11.095	11.925	10.521	10.144	9.701	10.021	10.034	10.594	11.103	10.305	10.923	9.283	10.332	11.219	10.677	10.615	11.058	9.211	10.206	10.290	10.377	10.959	10.840	10.289	10.372	10.691	10.408	11.104	9.961	9.971	10.891	10.746	11.084	11.166	11.185	10.880	10.854	10.662	10.818	10.933	11.554	11.267	11.773	11.274	11.307	10.068	10.032	10.068	10.331	11.006	10.803	10.735	10.685	10.511	11.442	11.054	10.873	11.396	10.285	10.731	11.149	10.808	10.189	10.180	9.445	11.255	9.436	10.613	10.132	10.516	11.291	10.501	9.713	11.174	11.138	9.202	10.580	8.708	10.200	10.760	11.129	10.748	10.941	11.369	11.139	11.364	10.833	10.628	10.659	11.167	10.238	11.726	10.793	10.897	11.267	11.174	10.992	10.601	10.721	11.142	10.106	10.564	10.779	10.834	11.002	10.873	10.546	10.775	9.264	9.363	10.772	10.807	11.120	10.595	10.836	10.277	11.255	10.035	11.299	10.663	11.384	9.038	11.173	10.227	11.050	9.965	11.663	10.148	10.486	11.008	11.132	10.819	11.052	11.184	10.199	9.507	10.904	10.147	10.939	10.779	11.876	10.279	10.912	10.764	10.431	11.025	11.034	10.537	10.598	11.232	11.208	11.445	10.780	11.128	10.366	12.258	9.002	11.227	9.696	11.063	9.587	10.455
DSCAM	9.848	3.543	9.878	7.331	4.977	9.160	11.696	2.846	7.488	8.566	7.120	8.285	9.780	9.266	6.882	10.084	9.035	7.811	8.789	6.150	8.743	9.694	7.686	9.602	6.752	8.229	9.404	6.655	10.106	8.742	9.031	8.533	7.551	8.171	7.958	6.083	7.222	9.745	7.410	9.519	9.201	8.884	7.489	8.237	9.191	11.057	8.240	0.959	10.681	8.210	6.508	8.877	7.410	9.226	8.827	9.400	10.405	7.881	8.116	9.179	8.054	8.619	9.214	6.904	9.779	5.702	7.243	9.053	8.173	8.330	7.786	6.479	9.207	6.858	8.621	8.891	8.934	7.013	0	4.963	6.384	10.207	6.974	7.631	8.719	9.693	9.741	6.432	10.267	8.859	9.447	8.868	10.338	6.418	9.784	7.208	9.507	9.423	5.655	7.896	10.824	10.408	7.496	8.575	8.747	7.551	5.380	8.444	3.176	9.923	8.522	9.015	9.028	8.242	8.355	8.628	9.198	9.169	4.254	6.454	7.105	8.290	9.354	8.605	9.752	9.226	5.605	9.976	9.342	7.063	8.728	7.681	7.524	7.933	6.774	9.339	6.815	8.227	8.580	7.748	7.079	9.234	6.569	9.287	6.066	10.069	6.862	8.240	8.947	7.929	9.880	10.148	8.693	9.922	7.500	8.073	5.876	1.915	8.569	8.959	10.175	7.352	8.152	8.042	9.956	4.721	6.357
EP300	10.855	10.335	10.211	10.557	9.267	11.033	11.488	10.723	10.053	9.504	9.524	9.786	10.202	10.325	9.452	10.471	9.039	10.157	10.894	10.619	10.954	10.838	8.351	9.564	10.508	10.314	10.964	10.506	10.071	9.996	9.416	9.704	9.909	9.708	9.723	9.923	9.961	10.135	10.968	9.870	10.711	10.848	9.963	10.651	10.979	11.288	9.853	12.094	10.988	10.041	10.208	9.518	9.990	9.266	10.814	10.462	10.579	9.973	9.668	9.822	10.879	10.505	10.221	10.051	10.383	10.785	9.588	9.721	9.628	8.918	10.627	8.573	10.404	10.183	9.415	11.106	10.120	9.409	11.158	9.868	9.098	10.284	8.686	8.895	9.425	10.947	10.213	10.883	11.368	10.366	11.101	10.091	10.419	9.558	10.521	10.460	10.418	10.839	9.662	10.997	10.843	10.558	9.642	10.490	10.126	9.179	9.953	10.637	9.550	10.810	9.439	10.231	9.657	9.681	8.711	10.652	10.490	10.763	9.234	10.280	10.220	11	10.620	10.069	9.586	11.075	8.433	11.183	10.430	11.337	9.868	10.562	10.061	10.222	10.073	11	10.082	10.071	10.887	9.914	9.632	10.515	10.386	10.250	10.364	10.851	10.012	10.099	9.806	10.472	9.958	10.773	10.293	10.304	11.301	11.014	11.651	10.995	11.039	10.441	11.164	8.228	10.158	8.458	10.858	9.923	10.274
ESR1	4.872	4.550	3.816	3.026	4.860	3.893	3.445	5.233	2.814	4.018	4.036	5.031	4.042	4.439	5.402	2.595	2.027	3.881	3.964	5.246	4.043	3.742	3.431	4.051	5.046	3.967	5.863	5.534	3.132	3.936	4.192	3.537	2.878	3.253	3.507	4.540	3.377	3.698	5.519	4.143	4.681	4.921	4.492	4.727	3.907	4.136	3.539	2.106	3.211	3.788	5.865	3.215	5.148	4.375	4.366	3.341	1.693	3.844	2.576	4.620	4.626	4.456	2.697	3.589	2.050	4.627	3.970	2.338	2.146	3.123	2.603	3.579	2.714	4.310	4.364	4.449	3.490	4.077	2.069	4.506	4.687	3.227	3.821	3.275	3.314	3.617	4.545	5.803	3.679	3.130	3.878	3.881	3.144	2.837	3.840	5.683	3.280	2.967	4.382	4.559	4.678	4.275	4.467	3.868	5.166	4.591	5.598	5.887	3.779	1.744	6.573	3.916	3.437	2.534	2.726	3.025	2.144	4.488	3.864	3.003	4.452	3.286	2.994	5.258	4.495	4.090	4.820	5.001	3.428	3.984	5.697	4.293	4.890	4.019	4.413	5.212	6.198	4.018	4.793	5.277	3.708	1.468	4.177	3.529	5.055	2.946	2.515	3.011	4.342	5.119	4.194	3.244	3.637	2.628	4.546	4.697	6.105	6.276	4.937	3.787	3.396	4.412	2.317	2.885	4.024	5.693	4.484
FGF7	4.810	9.692	3.173	3.690	3.343	3.483	3.142	3.564	5.169	3.592	5.545	3.762	3.127	1.865	3.347	3.471	3.354	3.063	3.595	5.203	4.241	3.509	3.245	4	3.226	3.867	3.174	5.061	3.840	3.245	3.493	3.589	1.493	4.535	5.029	3.074	4.613	3.934	1.966	4.537	3.310	3.682	4.207	3.567	4.308	4.027	3.539	5.259	3.868	2.845	4.889	3.889	5.330	6.935	4.221	3.849	2.635	5.292	3.078	3.593	3.632	3.492	3.737	2.961	4.282	2.589	3.733	2.956	4.110	3.980	3.479	3.414	3.745	2.690	3.886	3.897	4.597	5.264	3.404	4.387	4.460	4.147	5.171	5.903	3.314	4.144	4.473	2.973	2.909	2.625	3.152	3.881	2.760	2.614	5.469	3.790	3.410	4.525	2.661	4.092	2.350	3.837	4.365	3.159	2.858	6.084	4.218	5.314	2.813	3.009	4.006	4.253	3.489	3.135	4.246	5.589	3.362	5.383	3.761	4.526	3.399	3.536	2.802	4.391	3.115	2.763	4.226	3.844	4.781	3.796	4.645	3.558	4.251	3.681	3.931	2.859	3.524	4.596	4.097	4.034	3.865	4.176	3.428	4.627	4.389	4.400	3.602	4.203	4.504	2.306	3.848	3.011	1.580	4.479	4.183	2.540	5.684	9.363	3.716	5.467	5.251	5.256	4.138	4.651	3.975	5.552	3.931
FOS	12.171	13.530	13.656	15.143	12.842	12.299	11.982	13.008	12.574	13.578	11.081	10.607	9.988	13.149	12.039	11.973	11.601	12.733	11.822	14.702	11.458	11.118	10.177	12.543	10.404	14.113	13.933	12.248	12.389	11.332	12.469	13.882	15.078	12.879	12.431	12.127	12.962	9.130	12.367	11.463	11.617	12.018	11.894	11.392	11.382	11.037	12.405	12.092	10.965	12.146	13.424	11.658	13.932	10.643	12.543	12.415	12.678	9.549	12.757	10.437	11.892	13.707	11.292	12.122	11.670	13.988	10.195	12.897	11.343	11.742	10.070	12.015	12.498	11.548	11.440	12.604	9.026	12.973	8.690	11.778	11.752	9.057	11.648	12.826	12.007	13.670	13.223	11.796	10.822	11.740	14.741	13	13.812	13.543	12.403	13.290	10.895	9.657	12.362	11.063	12.212	11.716	11.167	12.520	14.748	12.148	12.329	10.811	10.048	11.014	10.803	10.348	11.935	12.538	10.977	13.159	11.346	12.819	11.192	11.673	12.778	12.185	10.660	13.091	14.155	12.464	11.475	13.889	12.611	11.608	9.343	10.565	12.874	15.171	12.614	11.456	11.614	11.816	13.494	11.547	12.734	12.808	11.513	12.458	10.508	10.540	12.233	10.563	12.645	11.648	9.924	11.354	12.211	11.677	13.767	12.839	14.372	12.422	11.340	12.632	9.938	10.995	12.549	12.091	11.994	13.276	11.188
FOXA3	0.695	2.841	1.818	4.839	5.637	2.089	0.863	1.612	0.003	2.983	3.120	0.007	4.539	3.998	3.639	2.008	0.815	2.563	1.818	5.327	4.165	2.322	1.207	2.987	2.086	0.007	0.593	1.204	1.079	1.040	2.085	0.004	1.495	2.611	1.059	0.010	1.929	4.863	0.492	1.012	2.051	1.703	1.884	3.625	4.936	2.611	5.231	0.961	0.567	3.421	1.019	0.549	0.010	1.273	3.433	1.831	0.011	2.750	1.801	0.566	1.493	0.013	3.635	3.484	2.052	5.470	0.004	0.747	0.891	6.643	2.212	2.459	1.653	2.988	4.146	5.931	1.611	5.033	0	6.268	1.700	0	1.674	4.038	1.043	0.530	4.681	1.171	0.852	1.447	1.416	4.129	3.552	3.354	0.011	2.937	1.247	1.041	3.957	0.999	0.010	3.103	2.007	1.708	1.029	2.359	3.325	1.415	0.006	4.220	0.011	1.862	3.632	3.319	1.083	2.847	1.786	1.055	3.093	2.003	4.769	1.721	2.696	0.006	5.927	1.225	0.007	1.448	0.755	0	0.006	3.674	0.613	0.014	0.898	1.981	4.812	6.329	1.746	4.152	2.706	2.515	1.147	0.722	1.724	0	0.010	1.533	3.299	5.458	0	1.273	5.532	0.014	2.042	1.464	2.482	3.382	2.286	2.246	0.996	2.460	3.454	1.938	2.564	3.042	2.629
